obs_id,minute,hours_emersed,date,time_sample,region,site,substrate,replicate,upperlimit,treatment,laser_mllw,height_above_mllw,max_tide_height,max_tide_height_m,x_max_tide_height,tide_site
139,701.6428571428571,11.694047619047618,Aug 29 2012,2,gulfislands,SookesGI2,bench,2,0.54,2,3.503547292,2.963547292,361.4928,3.614928,0.81980811,fulford
14,666.8392857142857,11.113988095238094,june 21 2012,1,gulfislands,SheepfarmGI1,bench,2,1.16,1,4.006638333,2.846638333,361.4928,3.614928,0.787467505,fulford
140,661.3571428571429,11.022619047619049,Aug 29 2012,2,gulfislands,SookesGI2,bench,3,0.67,1,3.503547292,2.833547292,361.4928,3.614928,0.783846122,fulford
141,701.6428571428571,11.694047619047618,Aug 29 2012,2,gulfislands,SookesGI2,bench,4,0.54,2,3.503547292,2.963547292,361.4928,3.614928,0.81980811,fulford
142,677.8392857142857,11.297321428571427,Aug 29 2012,2,gulfislands,SookesGI2,bench,5,0.62,2,3.503547292,2.883547292,361.4928,3.614928,0.797677656,fulford
143,610.5892857142857,10.176488095238094,Aug 29 2012,2,gulfislands,SookesGI2,bench,6,0.84,2,3.503547292,2.663547292,361.4928,3.614928,0.736818906,fulford
144,708.7678571428571,11.812797619047618,Aug 29 2012,2,gulfislands,SookesGI2,bench,7,0.52,2,3.503547292,2.983547292,361.4928,3.614928,0.825340724,fulford
145,661.3571428571429,11.022619047619049,Aug 29 2012,2,gulfislands,SookesGI2,bench,8,0.67,2,3.503547292,2.833547292,361.4928,3.614928,0.783846122,fulford
146,671.9107142857143,11.198511904761906,Aug 29 2012,2,gulfislands,SookesGI2,bench,9,0.64,2,3.503547292,2.863547292,361.4928,3.614928,0.792145042,fulford
147,721.9107142857143,12.031845238095238,Aug 29 2012,2,gulfislands,SookesGI2,bench,10,0.48,2,3.503547292,3.023547292,361.4928,3.614928,0.836405951,fulford
148,338.8363636363636,5.6472727272727266,Aug 29 2012,2,gulfislands,EagleCoveGI,cobble,1,1.98,1,3.885011582,1.905011582,361.4928,3.614928,0.526984654,fulford
149,329.51851851851853,5.491975308641975,Aug 29 2012,2,gulfislands,EagleCoveGI,cobble,2,2.04,1,3.885011582,1.845011582,361.4928,3.614928,0.510386813,fulford
15,602.0714285714286,10.03452380952381,june 21 2012,1,gulfislands,SheepfarmGI1,bench,3,1.36,1,4.006638333,2.646638333,361.4928,3.614928,0.732141369,fulford
150,310.6470588235294,5.177450980392156,Aug 29 2012,2,gulfislands,EagleCoveGI,cobble,3,2.2,1,3.885011582,1.685011582,361.4928,3.614928,0.466125904,fulford
151,305.94117647058823,5.099019607843137,Aug 29 2012,2,gulfislands,EagleCoveGI,cobble,4,2.22,1,3.885011582,1.665011582,361.4928,3.614928,0.46059329,fulford
152,308.2549019607843,5.137581699346405,Aug 29 2012,2,gulfislands,EagleCoveGI,cobble,5,2.21,2,3.885011582,1.675011582,361.4928,3.614928,0.463359597,fulford
153,305.94117647058823,5.099019607843137,Aug 29 2012,2,gulfislands,EagleCoveGI,cobble,6,2.22,1,3.885011582,1.665011582,361.4928,3.614928,0.46059329,fulford
154,301.38775510204084,5.023129251700681,Aug 29 2012,2,gulfislands,EagleCoveGI,cobble,7,2.28,1,3.885011582,1.605011582,361.4928,3.614928,0.443995449,fulford
155,634.0178571428571,10.566964285714285,Aug 29 2012,2,gulfislands,EagleCoveGI,bench,1,1.14,2,3.885011582,2.745011582,361.4928,3.614928,0.759354427,fulford
156,658.1428571428571,10.969047619047618,Aug 29 2012,2,gulfislands,EagleCoveGI,bench,2,1.06,2,3.885011582,2.825011582,361.4928,3.614928,0.781484882,fulford
157,696.25,11.604166666666666,Aug 29 2012,2,gulfislands,EagleCoveGI,bench,3,0.94,2,3.885011582,2.945011582,361.4928,3.614928,0.814680564,fulford
158,629.4642857142857,10.491071428571427,Aug 29 2012,2,gulfislands,EagleCoveGI,bench,4,1.16,2,3.885011582,2.725011582,361.4928,3.614928,0.753821814,fulford
159,722.3571428571429,12.039285714285715,Aug 29 2012,2,gulfislands,EagleCoveGI,bench,5,0.86,2,3.885011582,3.025011582,361.4928,3.614928,0.836811019,fulford
16,629.8392857142857,10.497321428571428,june 21 2012,1,gulfislands,SheepfarmGI1,bench,4,1.28,1,4.006638333,2.726638333,361.4928,3.614928,0.754271823,fulford
160,666.1428571428571,11.102380952380951,Aug 29 2012,2,gulfislands,EagleCoveGI,bench,6,1.04,2,3.885011582,2.845011582,361.4928,3.614928,0.787017496,fulford
161,709.2678571428571,11.821130952380951,Aug 29 2012,2,gulfislands,EagleCoveGI,bench,7,0.9,1,3.885011582,2.985011582,361.4928,3.614928,0.825745791,fulford
162,702.1428571428571,11.702380952380953,Aug 29 2012,2,gulfislands,EagleCoveGI,bench,8,0.92,1,3.885011582,2.965011582,361.4928,3.614928,0.820213178,fulford
163,713.6071428571429,11.89345238095238,Aug 29 2012,2,gulfislands,EagleCoveGI,bench,9,0.89,2,3.885011582,2.995011582,361.4928,3.614928,0.828512098,fulford
164,730.0714285714286,12.167857142857143,Aug 29 2012,2,gulfislands,EagleCoveGI,bench,10,0.83,2,3.885011582,3.055011582,361.4928,3.614928,0.845109939,fulford
165,407.57142857142856,6.792857142857143,Aug 29 2012,2,gulfislands,SheepfarmGI,cobble,1,1.7,1,3.876746419,2.176746419,361.4928,3.614928,0.602154848,fulford
166,401.98214285714283,6.69970238095238,Aug 29 2012,2,gulfislands,SheepfarmGI,cobble,2,1.72,1,3.876746419,2.156746419,361.4928,3.614928,0.596622234,fulford
167,427.60714285714283,7.126785714285714,Aug 29 2012,2,gulfislands,SheepfarmGI,cobble,3,1.64,2,3.876746419,2.236746419,361.4928,3.614928,0.618752689,fulford
168,443.23214285714283,7.38720238095238,Aug 29 2012,2,gulfislands,SheepfarmGI,cobble,4,1.6,1,3.876746419,2.276746419,361.4928,3.614928,0.629817916,fulford
169,414.875,6.914583333333334,Aug 29 2012,2,gulfislands,SheepfarmGI,cobble,5,1.68,2,3.876746419,2.196746419,361.4928,3.614928,0.607687461,fulford
17,651.9821428571429,10.866369047619049,june 21 2012,1,gulfislands,SheepfarmGI1,bench,5,1.2,1,4.006638333,2.806638333,361.4928,3.614928,0.776402278,fulford
170,476.80357142857144,7.94672619047619,Aug 29 2012,2,gulfislands,SheepfarmGI,cobble,6,1.52,2,3.876746419,2.356746419,361.4928,3.614928,0.65194837,fulford
171,467.85714285714283,7.7976190476190474,Aug 29 2012,2,gulfislands,SheepfarmGI,cobble,7,1.54,2,3.876746419,2.336746419,361.4928,3.614928,0.646415757,fulford
172,451.89285714285717,7.531547619047619,Aug 29 2012,2,gulfislands,SheepfarmGI,cobble,8,1.58,2,3.876746419,2.296746419,361.4928,3.614928,0.635350529,fulford
173,476.80357142857144,7.94672619047619,Aug 29 2012,2,gulfislands,SheepfarmGI,cobble,9,1.52,2,3.876746419,2.356746419,361.4928,3.614928,0.65194837,fulford
174,396.32142857142856,6.605357142857143,Aug 29 2012,2,gulfislands,SheepfarmGI,cobble,10,1.74,1,3.876746419,2.136746419,361.4928,3.614928,0.59108962,fulford
175,434.82142857142856,7.247023809523809,Aug 29 2012,2,gulfislands,SheepfarmGI,cobble,11,1.62,2,3.876746419,2.256746419,361.4928,3.614928,0.624285302,fulford
176,451.89285714285717,7.531547619047619,Aug 29 2012,2,gulfislands,SheepfarmGI,cobble,12,1.58,1,3.876746419,2.296746419,361.4928,3.614928,0.635350529,fulford
177,662.7857142857143,11.046428571428573,Aug 29 2012,2,gulfislands,SheepfarmGI,bench,1,1.04,2,3.876746419,2.836746419,361.4928,3.614928,0.784731098,fulford
178,670.0357142857143,11.167261904761906,Aug 29 2012,2,gulfislands,SheepfarmGI,bench,2,1.02,2,3.876746419,2.856746419,361.4928,3.614928,0.790263712,fulford
179,568.625,9.477083333333333,Aug 29 2012,2,gulfislands,SheepfarmGI,bench,3,1.3,2,3.876746419,2.576746419,361.4928,3.614928,0.712807121,fulford
18,684.6785714285714,11.411309523809525,june 21 2012,1,gulfislands,SheepfarmGI1,bench,6,1.1,1,4.006638333,2.906638333,361.4928,3.614928,0.804065346,fulford
180,696.8214285714286,11.613690476190476,Aug 29 2012,2,gulfislands,SheepfarmGI,bench,4,0.93,2,3.876746419,2.946746419,361.4928,3.614928,0.815160473,fulford
181,696.8214285714286,11.613690476190476,Aug 29 2012,2,gulfislands,SheepfarmGI,bench,5,0.93,2,3.876746419,2.946746419,361.4928,3.614928,0.815160473,fulford
182,726.3392857142857,12.105654761904761,Aug 29 2012,2,gulfislands,RuckleGI,bench,1,1.18,1,4.220090318,3.040090318,361.4928,3.614928,0.84098226,fulford
183,700.6428571428571,11.677380952380952,Aug 29 2012,2,gulfislands,RuckleGI,bench,2,1.26,1,4.220090318,2.960090318,361.4928,3.614928,0.818851805,fulford
184,637.5,10.625,Aug 29 2012,2,gulfislands,RuckleGI,bench,3,1.46,1,4.220090318,2.760090318,361.4928,3.614928,0.763525669,fulford
185,649.6785714285714,10.82797619047619,Aug 29 2012,2,gulfislands,RuckleGI,bench,4,1.42,1,4.220090318,2.800090318,361.4928,3.614928,0.774590896,fulford
186,694.9464285714286,11.582440476190476,Aug 29 2012,2,gulfislands,RuckleGI,bench,5,1.28,1,4.220090318,2.940090318,361.4928,3.614928,0.813319191,fulford
187,731.3928571428571,12.189880952380951,Aug 29 2012,2,gulfislands,RuckleGI,bench,6,1.16,1,4.220090318,3.060090318,361.4928,3.614928,0.846514873,fulford
188,726.3392857142857,12.105654761904761,Aug 29 2012,2,gulfislands,RuckleGI,bench,7,1.18,1,4.220090318,3.040090318,361.4928,3.614928,0.84098226,fulford
189,670.9821428571429,11.183035714285715,Aug 29 2012,2,gulfislands,RuckleGI,bench,8,1.36,2,4.220090318,2.860090318,361.4928,3.614928,0.791188737,fulford
19,634.4107142857143,10.573511904761906,june 21 2012,1,gulfislands,SheepfarmGI1,bench,7,1.26,1,4.006638333,2.746638333,361.4928,3.614928,0.759804437,fulford
190,639.7857142857143,10.66309523809524,Aug 29 2012,2,gulfislands,RuckleGI,bench,9,1.45,2,4.220090318,2.770090318,361.4928,3.614928,0.766291975,fulford
191,588.5714285714286,9.809523809523808,Aug 29 2012,2,gulfislands,RuckleGI,bench,10,1.6,1,4.220090318,2.620090318,361.4928,3.614928,0.724797373,fulford
192,682.8392857142857,11.380654761904761,Aug 29 2012,2,gulfislands,RuckleGI,bench,11,1.32,1,4.220090318,2.900090318,361.4928,3.614928,0.802253964,fulford
193,637.5,10.625,Aug 29 2012,2,gulfislands,RuckleGI,bench,12,1.46,2,4.220090318,2.760090318,361.4928,3.614928,0.763525669,fulford
194,389.7142857142857,6.495238095238095,june 19 2012,1,outer coast,CrabInnTofino,cobble,1,2.38,1,4.625902215,2.245902215,418.1856,4.181856,0.537058716,tofino
195,422.25,7.0375,june 19 2012,1,outer coast,CrabInnTofino,cobble,2,2.28,1,4.625902215,2.345902215,418.1856,4.181856,0.560971543,tofino
196,399.48214285714283,6.658035714285714,june 19 2012,1,outer coast,CrabInnTofino,cobble,3,2.35,1,4.625902215,2.275902215,418.1856,4.181856,0.544232564,tofino
197,415.82142857142856,6.930357142857143,june 19 2012,1,outer coast,CrabInnTofino,cobble,4,2.3,1,4.625902215,2.325902215,418.1856,4.181856,0.556188978,tofino
198,376.51785714285717,6.2752976190476195,june 19 2012,1,outer coast,CrabInnTofino,cobble,5,2.42,1,4.625902215,2.205902215,418.1856,4.181856,0.527493585,tofino
199,396.19642857142856,6.6032738095238095,june 19 2012,1,outer coast,CrabInnTofino,cobble,6,2.36,2,4.625902215,2.265902215,418.1856,4.181856,0.541841282,tofino
2,499.6607142857143,8.32767857142857,june 21 2012,1,gulfislands,RuckleGI,bench,2,2.04,1,4.451281333,2.411281333,361.4928,3.614928,0.667034401,fulford
20,629.8392857142857,10.497321428571428,june 21 2012,1,gulfislands,SheepfarmGI1,bench,8,1.28,1,4.006638333,2.726638333,361.4928,3.614928,0.754271823,fulford
200,363.14285714285717,6.052380952380953,june 19 2012,1,outer coast,CrabInnTofino,cobble,7,2.46,2,4.625902215,2.165902215,418.1856,4.181856,0.517928454,tofino
201,383.0357142857143,6.383928571428571,june 19 2012,1,outer coast,CrabInnTofino,cobble,8,2.4,1,4.625902215,2.225902215,418.1856,4.181856,0.532276151,tofino
202,399.48214285714283,6.658035714285714,june 19 2012,1,outer coast,CrabInnTofino,cobble,9,2.35,2,4.625902215,2.275902215,418.1856,4.181856,0.544232564,tofino
